Entity,Code,Year,Consumer price index (2010 = 100)
Italy,ITA,1960,4.1478357
Italy,ITA,1961,4.2328954
Italy,ITA,1962,4.4314666
Italy,ITA,1963,4.76182
Italy,ITA,1964,5.043354
Italy,ITA,1965,5.2712765
Italy,ITA,1966,5.394972
Italy,ITA,1967,5.596384
Italy,ITA,1968,5.6678677
Italy,ITA,1969,5.818477
Italy,ITA,1970,6.107558
Italy,ITA,1971,6.4002113
Italy,ITA,1972,6.768192
Italy,ITA,1973,7.499063
Italy,ITA,1974,8.935866
Italy,ITA,1975,10.450541
Italy,ITA,1976,12.1868105
Italy,ITA,1977,14.274417
Italy,ITA,1978,16.000767
Italy,ITA,1979,18.368652
Italy,ITA,1980,22.237856
Italy,ITA,1981,26.233843
Italy,ITA,1982,30.55729
Italy,ITA,1983,35.032887
Italy,ITA,1984,38.81451
Italy,ITA,1985,42.38777
Italy,ITA,1986,44.856243
Italy,ITA,1987,46.985695
Italy,ITA,1988,49.362347
Italy,ITA,1989,52.452347
Italy,ITA,1990,55.83899
Italy,ITA,1991,59.328926
Italy,ITA,1992,62.455914
Italy,ITA,1993,65.34558
Italy,ITA,1994,67.99328
Italy,ITA,1995,71.55302
Italy,ITA,1996,74.42013
Italy,ITA,1997,75.94061
Italy,ITA,1998,77.425316
Italy,ITA,1999,78.71326
Italy,ITA,2000,80.71075
Italy,ITA,2001,82.95868
Italy,ITA,2002,85.003876
Italy,ITA,2003,87.27565
Italy,ITA,2004,89.2016
Italy,ITA,2005,90.97251
Italy,ITA,2006,92.8746
Italy,ITA,2007,94.57397
Italy,ITA,2008,97.74015
Italy,ITA,2009,98.497406
Italy,ITA,2010,100
Italy,ITA,2011,102.78063
Italy,ITA,2012,105.90656
Italy,ITA,2013,107.198616
Italy,ITA,2014,107.457016
Italy,ITA,2015,107.4987
Italy,ITA,2016,107.39764
Italy,ITA,2017,108.714905
Italy,ITA,2018,109.95152
Italy,ITA,2019,110.6236
Italy,ITA,2020,110.47126
Italy,ITA,2021,112.54125
Italy,ITA,2022,121.77109
Italy,ITA,2023,128.6173